description,images,purchaseLink,aesthetic,seasonalColors,occasions,kibbeTypes,upvotes,downvotes,ownerId
Extro & Vert Tall blazer and pants set in sapphire navy velvet,https://images.asos-media.com/groups/extro-vert-tall-blazer-and-pants-set-in-sapphire-navy-velvet/102042-group-1?$n_480w$&wid=476&fit=constrain,https://www.asos.com/us/extro-vert-tall/extro-vert-tall-blazer-and-pants-set-in-sapphire-navy-velvet/grp/102042?clr=navy-velvet&colourWayId=203016107&cid=27108,Academia / Preppy,"True Winter, Dark Winter","Smart Casual, Office",Supermodel,30,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Extro & Vert Tall cropped blazer and pants set in red satin,https://images.asos-media.com/groups/extro-vert-tall-cropped-blazer-and-pants-set-in-red-satin/102041-group-1?$n_480w$&wid=476&fit=constrain,https://www.asos.com/us/extro-vert-tall/extro-vert-tall-cropped-blazer-and-pants-set-in-red-satin/grp/102041?clr=red-satin&colourWayId=203016130&cid=27108,Academia / Preppy,"True Spring, Bright Spring","Smart Casual, Office",Supermodel,19,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Extro & Vert Tall cami wide leg jumpsuit in black sequin,https://images.asos-media.com/products/extro-vert-tall-cami-wide-leg-jumpsuit-in-black-sequin/203016267-1-blacksequin?$n_480w$&wid=476&fit=constrain,https://www.asos.com/us/extro-vert-tall/extro-vert-tall-cami-wide-leg-jumpsuit-in-black-sequin/prd/203016267?clr=black-sequin&colourWayId=203016268&cid=27108,Goth / Grunge / Punk,"True Winter, Dark Winter","Cocktail, Holiday",Feline,28,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Extro & Vert Tall bandeau mini dress in emerald velvet,https://images.asos-media.com/products/extro-vert-tall-bandeau-mini-dress-in-emerald-velvet/203016246-1-emeraldvelvet?$n_480w$&wid=476&fit=constrain,https://www.asos.com/us/extro-vert-tall/extro-vert-tall-bandeau-mini-dress-in-emerald-velvet/prd/203016246?clr=emerald-velvet&colourWayId=203016247&cid=27108,Insta Baddie / Y2K,"True Winter, Dark Winter","Cocktail, Holiday",Queen,25,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Extro & Vert Tall wide leg pants in black faux leather,https://images.asos-media.com/products/extro-vert-tall-wide-leg-pants-in-black-faux-leather/203016171-1-blackfauxleather?$n_480w$&wid=476&fit=constrain,https://www.asos.com/us/extro-vert-tall/extro-vert-tall-wide-leg-pants-in-black-faux-leather/prd/203016171?clr=black-faux-leather&colourWayId=203016173&cid=27108,Goth / Grunge / Punk,"True Winter, Dark Winter","Smart Casual, Office",Supermodel,38,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Tall floral print v neck jersey tea dress,https://img.shopstyle-cdn.com/sim/c3/d2/c3d284dfb5f30b73f196ea223dd852df_xlarge/topshop-tall-floral-print-v-neck-jersey-tea-dress.jpg,"https://www.shopstyle.com/interstitial/loadRetailerProductPage?device=desktop&version=ng5-12.19.0-633311a9&project=shopstyle+web&searchId=b819b584-ddae-4269-9183-f3963a98831f&extra=%7B%22page.name%22:%22browse+products%22,%22page.fromUrl%22:%22/browse/womens-clothes?fts=topshop+tall%2526pageNumber=3%22,%22freeTextSearch%22:true,%22search.categoryId%22:%22544%22,%22clickId%22:%224aa94c28-99b8-42e7-a8f5-dda863cc7128%22,%22ssApplied%22:false,%22index%22:7,%22isWebInterstitial%22:true,%22searchSegment%22:%22WEB%22,%22product.inStock%22:true,%22product.categoryId%22:1984,%22stack%22:%22node%22,%22rebrand%22:true,%22server%22:%22beanstalk%22,%22tests.control.1%22:false,%22tests.clickableAreaDesktop.3%22:%22control%22,%22tests.interstitialDelay.3%22:%22fast%22,%22cashBack.hasTiers%22:false,%22cashBack.currentRate%22:2,%22cashBack.type%22:%22Percent%22%7D&id=903905243",Cottage-core,"Dark Winter, Bright Winter","Casual, Date",Lady,49,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Tall single breasted blazer in black,https://img.shopstyle-cdn.com/sim/2d/dc/2ddc2bbf1c0a564f1971663f8e0fe1dc_xlarge/topshop-tall-single-breasted-blazer-in-black.jpg,"https://www.shopstyle.com/interstitial/loadRetailerProductPage?device=desktop&version=ng5-12.19.0-633311a9&project=shopstyle+web&searchId=b819b584-ddae-4269-9183-f3963a98831f&extra=%7B%22page.name%22:%22browse+products%22,%22page.fromUrl%22:%22/browse/womens-clothes?fts=topshop+tall%2526pageNumber=3%22,%22freeTextSearch%22:true,%22search.categoryId%22:%22544%22,%22clickId%22:%22dd242c6b-881b-48a8-8a11-5febfd434318%22,%22ssApplied%22:false,%22index%22:55,%22isWebInterstitial%22:true,%22searchSegment%22:%22WEB%22,%22product.inStock%22:true,%22product.categoryId%22:53,%22stack%22:%22node%22,%22rebrand%22:true,%22server%22:%22beanstalk%22,%22tests.control.1%22:false,%22tests.clickableAreaDesktop.3%22:%22control%22,%22tests.interstitialDelay.3%22:%22fast%22,%22cashBack.hasTiers%22:false,%22cashBack.currentRate%22:2,%22cashBack.type%22:%22Percent%22%7D&id=922381503",Goth / Grunge / Punk,"True Winter, Dark Winter","Smart Casual, Office",Queen,48,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Floral Print Tiered Ruffle Tie Belt Mini Dress,"https://images.express.com/is/image/expressfashion/0094_07907448_0031_f002?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/floral-print-tiered-ruffle-tie-belt-mini-dress/pro/07907448//color/Print,Insta Baddie / Y2K,"True Autumn, Dark Autumn","Smart Casual, Clubbing",Supermodel,28,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Metallic Floral Ruffle Wrap Front Romper,"https://images.express.com/is/image/expressfashion/0094_07907421_0017_f002?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/metallic-floral-ruffle-wrap-front-romper/pro/07907421//color/Pink%20Print,Insta Baddie / Y2K,"True Spring, True Autumn","Smart Casual, Date",Vixen,33,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Floral Ruffle Wrap Front Romper,"https://images.express.com/is/image/expressfashion/0094_07907301_0004_f002?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/floral-ruffle-wrap-front-romper/pro/07907301//color/Multi,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Smart Casual, Date",Lady,2,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Ruffle Hi-Lo Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07859449_0058_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-ruffle-hi-lo-maxi-dress/pro/07859449//color/Pitch%20Black,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Feline,6,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Floral Print Ruffle Sleeve Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07857698_0004_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-floral-print-ruffle-sleeve-maxi-dress/pro/07857698//color/Multi,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Supermodel,41,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Floral Print Ruffle Hi-Lo Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07857452_0004_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-floral-print-ruffle-hi-lo-maxi-dress/pro/07857452//color/Multi,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Feline,33,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Draped Cowl Neck Midi Sheath Dress,"https://images.express.com/is/image/expressfashion/0094_07857426_0813_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-draped-cowl-neck-midi-sheath-dress/pro/07857426//color/Navy%20Blue,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Feline,23,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin High Neck Slip Midi Dress,"https://images.express.com/is/image/expressfashion/0094_07857425_0058_f100?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-high-neck-slip-midi-dress/pro/07857425//color/Pitch%20Black,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Queen,37,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Long Sleeve Cutout Midi Dress,"https://images.express.com/is/image/expressfashion/0094_07857423_0560_c100?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-long-sleeve-cutout-midi-dress/pro/07857423//color/Mocha,Insta Baddie / Y2K,"True Autumn, Dark Autumn","Black Tie, Cocktail",Queen,31,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Metallic Printed Faux Wrap Ruffle Hi-Lo Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07857414_0030_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/metallic-printed-faux-wrap-ruffle-hi-lo-maxi-dress/pro/07857414//color/Black%20Print,Insta Baddie / Y2K,"Soft Autumn, Dark Autumn","Black Tie, Cocktail",Lady,41,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Textured Faux Wrap Ruffle Hi-Lo Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07857413_0722_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/textured-faux-wrap-ruffle-hi-lo-maxi-dress/pro/07857413//color/Venetian%20Teal,Insta Baddie / Y2K,"Soft Autumn, Dark Autumn","Black Tie, Cocktail",Lady,34,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Marble Satin High Neck Slip Midi Dress,"https://images.express.com/is/image/expressfashion/0094_07857304_0031_c100?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/marble-satin-high-neck-slip-midi-dress/pro/07857304//color/Print,Insta Baddie / Y2K,"True Autumn, Dark Autumn","Black Tie, Cocktail",Queen,46,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Satin Faux Wrap Tie Waist Hi-Lo Midi Dress,"https://images.express.com/is/image/expressfashion/0094_07853312_0121_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/satin-faux-wrap-tie-waist-hi-lo-midi-dress/pro/07853312//color/Swan,Insta Baddie / Y2K,"True Spring, True Autumn","Black Tie, Cocktail",Feline,12,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Body Contour Floral Print Ruched Open Back Mesh Maxi Dress,"https://images.express.com/is/image/expressfashion/0094_07837509_0030_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/body-contour-floral-print-ruched-open-back-mesh-maxi-dress/pro/07837509//color/Black%20Print,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Clubbing",Feline,25,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Leopard Draped Mock Neck Midi Sheath Dress,"https://images.express.com/is/image/expressfashion/0094_07837507_0031_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/leopard-draped-mock-neck-midi-sheath-dress/pro/07837507//color/Print,Norm-core,"True Autumn, Dark Autumn","Black Tie, Office",Boss,18,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Square Neck Peplum Midi Sheath Dress,"https://images.express.com/is/image/expressfashion/0094_07837439_0058_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/square-neck-peplum-midi-sheath-dress/pro/07837439//color/Pitch%20Black,Insta Baddie / Y2K,"Dark Winter, Bright Winter","Black Tie, Cocktail",Boss,20,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Body Contour Faux Leather Twist Front Midi Dress With Built-In Shapewear,"https://images.express.com/is/image/expressfashion/0094_07837406_0560_c100?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/body-contour-faux-leather-twist-front-midi-dress-with-built-in-shapewear/pro/07837406//color/Mocha,Goth / Grunge / Punk,"True Autumn, Dark Autumn","Black Tie, Clubbing","Feline, Queen",14,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Croc Faux Leather Draped Mock Neck Midi Sheath Dress,"https://images.express.com/is/image/expressfashion/0094_07837372_0509_f001?cache=on&wid=960&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",https://www.express.com/clothing/women/croc-faux-leather-draped-mock-neck-midi-sheath-dress/pro/07837372//color/Espresso,Goth / Grunge / Punk,"True Autumn, Dark Autumn","Black Tie, Clubbing",Feline,36,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Silk Floral Emerald Spaghetti Strap Dress,https://s3.amazonaws.com/appforest_uf/f1659372092729x725788363132272400/D-rec3.png,https://www.thereformation.com/products/frankie-silk-dress/1304134BUA.html?dwvar_1304134BUA_color=BUA,Cottage-core,"Dark Autumn, True Autumn","Black Tie , Cocktail","Queen, Feline",7,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Caramel high-waist palazzo pants,https://s3.amazonaws.com/appforest_uf/f1659458270415x950872114116986800/SD-rec1.png,https://www.everlane.com/products/womens-linen-way-high-drape-pant-tawny-brown?locale=US&utm_medium=cpc&utm_source=pla-google-pmax&utm_campaign=17386669597&utm_content=&utm_term=&adgroup=&pid=11386-88686&device=c&gclid=CjwKCAjwlqOXBhBqEiwA-hhitMrsglgiD1q0GD_AmmGtksjS9qYszWei6QU6itW1ynZEJpwMGLLDtBoCrPEQAvD_BwE,Insta Baddie / Y2K,"True Spring, Bright Spring","Casual , Clubbing , Smart Casual","Queen, Feline",8,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Dolman Sleeve Stripe Collared Shirt Dress,https://s3.amazonaws.com/appforest_uf/f1659458604590x422414356378546940/FN-rec2.png,https://www.cupshe.com/products/analia-dolman-sleeve-stripe-shirt-collar-oversize-dress?variant=39971806609498&gclid=CjwKCAjwlqOXBhBqEiwA-hhitKt6PImONNanR9TVyYEh4c_dfNZi3GxM4JWvFEQ1Q0ieBwPJyme8BBoCREwQAvD_BwE,Norm-core,"Light Summer, Bright Winter","Beach , Casual , Lounge","Supermodel, Natural",3,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
AllSaints Cotton Denim Jacket,https://s3.amazonaws.com/appforest_uf/f1659458855717x672692114132082960/FN-rec3.png,https://modesens.com/product/allsaints-womens-washed-black-piper-oversized-cotton-blend-denim-jacket-14-30883622/?country=us&language=en&refinfo=gSH_ggfAllsafc-ApAcClOuCoJa30883622,Goth / Grunge / Punk,"Dark Winter, True Winter","Casual , Festival","Supermodel, Natural",25,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Anthropologie Boho Patterned Maxi Dress,https://s3.amazonaws.com/appforest_uf/f1659459106077x792496839589349500/SN-rec1.png,https://www.anthropologie.com/shop/bhanuni-by-jyoti-patterned-maxi-dress?color=038&size=0&inventoryCountry=US&countryCode=US&utm_medium=paid_search&utm_source=Google&utm_campaign=US%20-%20Smart%20Shopping%20-%20Apparel%20-%20Dresses%20-%20Dresses&utm_content=US%20-%20Smart%20Shopping%20-%20Apparel%20-%20Dresses%20-%20Dresses&utm_term=PRODUCT_GROUP&creative=574700493281&device=c&matchtype=&network=u&utm_kxconfid=vx6rd81ts&gclid=CjwKCAjwlqOXBhBqEiwA-hhitC83IsxZuX0w7bG4xPyEBO_iua6kzvXT3sBG-3VVuGhadc99VxQsQhoClIgQAvD_BwE&gclsrc=aw.ds&type=STANDARD&quantity=1,Artsy,"True Summer, True Winter","Beach , Casual","Supermodel, Natural",18,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Chloe Cotton Top,https://s3.amazonaws.com/appforest_uf/f1659459366841x932879283437679400/SN-rec2.png,https://alcltd.com/products/chloe-top-white?gclid=CjwKCAjwlqOXBhBqEiwA-hhitK2wOZob7xpSCvlQCzouryNvaTapX491IPLznzgjJSojA46JHVFVORoCUTwQAvD_BwE&gclsrc=aw.ds,Academia / Preppy,"True Winter, Bright Winter","Office , Smart Casual","Supermodel, Natural",41,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Black Blazer Dress,https://s3.amazonaws.com/appforest_uf/f1659459901093x239079556348208450/DC-rec1.png,https://www.neimanmarcus.com/p/saint-laurent-tailored-blazer-dress-prod251290734?utm_source=google_shopping&ecid=NMCS_GP_NCXX_XXXX_XXXXXXXXXXXXXXXX_XXXXXXXX&gclid=CjwKCAjwlqOXBhBqEiwA-hhitN0jzKx39afxEG98PvVs8C5M9Lexqi9NMDYoKUcZUxq41Xa8rBirKRoCTFQQAvD_BwE&gclsrc=aw.ds&pdp_app=nmo,Academia / Preppy,"Dark Winter, True Winter","Black Tie , Cocktail , Office",Boss,18,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Whistles Federica Frilled-collar Crepe Dress,https://s3.amazonaws.com/appforest_uf/f1659460161996x697660395463290200/DC-rec2.png,https://www.ebay.com/itm/324199447509?chn=ps&mkevt=1&mkcid=28&autorefresh=true,Academia / Preppy,"Dark Winter, True Winter","Casual , Office , Smart Casual",Boss,37,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Club Monaco Ivory Pleated Top,https://s3.amazonaws.com/appforest_uf/f1659460383697x429727924555161700/DC-rec3.png,https://poshmark.com/listing/Club-Monaco-High-Waisted-Pleated-Top-6169033b88cce3f540d11033#utm_source=gdm_unpaid,Norm-core,"Dark Winter, Bright Winter","Office , Smart Casual",Boss,38,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Ted Baker Neoprene Skater Dress,https://s3.amazonaws.com/appforest_uf/f1659461144511x177253248432049020/SC-rec2.png,https://www.tedbaker.com/us/p/Womens/Clothing/Dresses/PUXIE-Printed-Neoprene-Skater-Dress-Natural/267023-NATURAL,Academia / Preppy,"True Winter, Bright Winter","Cocktail , Date , Office",Lady,29,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
White Crepe Halter Neck Top,https://s3.amazonaws.com/appforest_uf/f1659461453889x527397405610208900/SC-rec3.png,https://www.aritzia.com/us/en/product/torres-top/95456.html?dwvar_95456_color=3030,Soft / VSCO,"Dark Winter, Bright Winter","Casual , Office , Smart Casual",Lady,12,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Chanel Tweed Suit & Skirt Set,https://s3.amazonaws.com/appforest_uf/f1659461784934x178847461329052700/FG-rec1.png,https://lookastic.com/women/beige-tweed-jacket/shop/chanel-vintage-jacket-and-skirt-tweed-suit-174694,Academia / Preppy,"True Winter, Bright Winter","Office , Smart Casual",Coquette,13,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Lightning Print Dress,https://s3.amazonaws.com/appforest_uf/f1659462101533x704190320814730400/FG-rec2.png,https://www.fredperry.com/us/women/dresses/lightning-print-dress-sd3024-102.html,E-person,"True Spring, Bright Spring","Cocktail , Date , Festival",Ingenue,18,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
White Cropped Cardigan and Pleated Skirt,https://s3.amazonaws.com/appforest_uf/f1659462396927x385427120395481800/FG-rec3.png,https://www.popsugar.com/fashion/kiernan-shipka-style-pictures-2019-46723472,Academia / Preppy,"True Winter, Bright Winter","Holiday , Smart Casual",Coquette,35,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Sister Jane Lace Mini Dress,https://s3.amazonaws.com/appforest_uf/f1659462538988x204429995783528300/SG-rec1.png,https://sisterjane.com/collections/dresses,Soft / VSCO,"Light Spring, Soft Autumn","Cocktail , Date",Coquette,31,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Jacquard Playsuit,https://s3.amazonaws.com/appforest_uf/f1659462660733x707713145267261600/SG-rec2.png,https://sisterjane.com/collections/bottoms/products/penelope-jacquard-playsuit,Soft / VSCO,"Dark Winter, Bright Winter","Black Tie , Cocktail",Ingenue,20,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Super soft V neck vest mini sweater dress,https://s3.amazonaws.com/appforest_uf/f1659462920034x428176071121424450/SG-rec3.png,https://www.asos.com/us/asos-petite/asos-design-petite-super-soft-v-neck-vest-mini-sweater-dress-in-charcoal/prd/200624912?clr=charcoal&colourWayId=200624913&cid=4177,Norm-core,"True Summer, Soft Summer","Casual , Lounge",Ingenue,47,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Watercolour One Shoulder Puff Sleeve Mini Dress,https://s3.amazonaws.com/appforest_uf/f1659463161562x653081568839900300/TR-rec1.png,https://us.chichiclothing.com/products/watercolour-one-shoulder-puff-sleeve-mini-dress-in-burgundy?pr_prod_strat=description&pr_rec_id=019d68a47&pr_rec_pid=7486491230382&pr_ref_pid=7740064170158&pr_seq=uniform,Insta Baddie / Y2K,"Dark Winter, True Winter","Clubbing , Cocktail",Femme Fatale,12,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Loretta Dress in White Cotton,https://s3.amazonaws.com/appforest_uf/f1659463452602x532847761365312200/TR-rec2.png,https://www.etsy.com/listing/592597893/mto-loretta-dress-in-white-cotton?click_key=b9a59499657cad0e720a61e8b6a15e195b27ed38%3A592597893&click_sum=70ab8b5c&ref=shop_home_active_1&crt=1,Soft / VSCO,"True Winter, Bright Winter","Casual , Date , Lounge",Siren,1,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Sweetheart Wrap Front Top,https://s3.amazonaws.com/appforest_uf/f1659463720544x239059503437615940/TR-rec3.png,https://us.shein.com/Sweetheart-Wrap-Front-Top-p-678032-cat-1738.html?url_from=adplaswblouse07190111520S_GPM&cid=16915228963&setid=&adid=&pf=GOOGLE&gclid=CjwKCAjwlqOXBhBqEiwA-hhitKtq1uoufikWDRe_cHIHVWW7gSbUb3siI2CQpRlvYMNz8z-WzwxIsBoC7vYQAvD_BwE,Academia / Preppy,"Dark Autumn, Dark Winter","Casual , Date , Smart Casual","Femme Fatale, Siren",28,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Ivory Long Sleeve Ruffled Top,https://s3.amazonaws.com/appforest_uf/f1659463871734x521907478673848900/R-rec1.png,https://www.chicme.com/pc/product_detail?productId=67b095e2-6b7a-4bb6-b3ce-ba4e623c7add&utm_sku=LZZ2823-w-M-ichic&country=US&utm_locale=en_US&geeko_ads=1,Soft / VSCO,"True Winter, Bright Winter","Date , Office , Smart Casual",Siren,35,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Ruffled Off the Shoulder Bodycon Dress,https://s3.amazonaws.com/appforest_uf/f1659464003300x942669389932514300/R-rec2.png,https://www.selfieleslie.com/products/rossi-ruffled-off-the-shoulder-bodycon-dress-black,Norm-core,"Dark Winter, True Winter","Black Tie , Cocktail",Siren,22,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Navy Collared Sleeve Top,https://s3.amazonaws.com/appforest_uf/f1659465408653x466834822254816900/SC-rec1.png,https://www.stories.com/en_usd/clothing/tops/tops-t-shirts/product.collared-short-sleeve-top-blue.1066859003.html,Norm-core,"Dark Winter, True Winter","Casual , Office , Smart Casual",Boss,47,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Boho maxi dress with plunge neckline,https://s3.amazonaws.com/appforest_uf/f1659465670989x950505901740380500/FN-rec1.png,https://www.freepeople.com/shop/rare-feelings-maxi-dress/?color=021&type=REGULAR&quantity=1,Artsy,"Dark Autumn, True Autumn","Beach , Casual",Supermodel,46,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Black Double Breasted Duster Trench Coat Slim Full Length Maxi Long Overcoat,https://s3.amazonaws.com/appforest_uf/f1660007005233x487780426707109060/D-rec4.png,https://www.amazon.com/ebossy-Womens-Double-Breasted-Overcoat/dp/B0817WG3YL?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3AKXTDACK0KGX&th=1&psc=1,Academia / Preppy,"Dark Winter, Bright Winter","Office , Smart Casual",Queen,13,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Black High Waist Trousers,https://s3.amazonaws.com/appforest_uf/f1660007626984x600611655151777700/D-rec5.png,https://www.etsy.com/listing/927680430/black-high-waist-trousers-wide-leg-pants,Insta Baddie / Y2K,"Dark Winter, True Winter","Casual , Date , Smart Casual","Queen, Feline",35,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Sleek Halter Neck White Jumpsuit,https://s3.amazonaws.com/appforest_uf/f1660007780117x477599052982635700/D-rec6.png,https://www.revolve.com/lovers-and-friends-heather-jumpsuit-in-white/dp/LOVF-WC274/?d=F&currency=USD&countrycode=US&gclid=CjwKCAjw6MKXBhA5EiwANWLODJTSvGSOupPRqN-j0pU_LOf5x_dPtRn1vJoJdXmRqK-n6_LtOFg5VhoCTUcQAvD_BwE&gclsrc=aw.ds,Norm-core,"True Winter, Bright Winter","Cocktail , Office , Smart Casual",Queen,13,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Do+Be One-Shoulder Draped Ivory Jumpsuit,https://s3.amazonaws.com/appforest_uf/f1660008072943x728666275941299200/SD-rec2.png,https://www.nyandcompany.com/One-Shoulder-Draped-Jumpsuit-Do-Be/A-prod25170030?cid=seo_sag_shopping&selectedColor=IVORY,Soft / VSCO,"Light Spring, True Autumn","Black Tie , Cocktail",Feline,37,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
