description,images,purchaseLink,aesthetic,seasonalColors,occasions,kibbeTypes,upvotes,downvotes,ownerId
Dream a Little Dream Of 'Tweed' Coat,https://cdn.shopify.com/s/files/1/0559/0604/2027/products/51f4cec1e562a3064238181279ab3e8a_1826x.jpg?v=1643925832,https://modcloth.com/collections/best-sellers/products/dream-a-little-dream-of-tweed-coat-c60013,Artsy,"True Winter, Bright Winter","Casual, Festival",Coquette,35,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Deep Sea Voyage Shirt Dress,https://cdn.shopify.com/s/files/1/0559/0604/2027/products/a523cd178aeed6ac7c6b8e90fe31ea66_1826x.jpg?v=1660847398,https://modcloth.com/collections/best-sellers/products/deep-sea-voyage-shirt-dress-blk,Artsy,"True Winter, Dark Winter","Casual, Festival",Coquette,14,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Tailored jacket,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw4398fde0/images/h13/Sandro_SFPVE00656-6050_V_1.jpg?sw=638&sh=822&sm=fit&cx=224&cy=0&cw=1551&ch=2000,https://us.sandro-paris.com/en/womens/clothing/jackets-blazers/tailored-jacket/SFPVE00656.html?dwvar_SFPVE00656_color=6050,Academia / Preppy,"Bright Spring, Light Spring","Smart Casual, Office",Supermodel,49,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Knit top with pearl buttons,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw7d2e1883/images/h13/Sandro_SFPCA00588-E123_V_1.jpg?sw=638&sh=822&sm=fit&cx=224&cy=0&cw=1551&ch=2000,https://us.sandro-paris.com/en/womens/clothing/tops-shirts/knit-top-with-pearl-buttons/SFPCA00588.html?dwvar_SFPCA00588_color=E123,Soft / VSCO,"Bright Spring, Light Spring","Smart Casual, Office",Coquette,17,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Tweed tailored jacket,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw3f5051ae/images/h13/Sandro_SFPVE00666-A267_V_1.jpg?sw=638&sh=822&sm=fit&cx=224&cy=0&cw=1551&ch=2000,https://us.sandro-paris.com/en/womens/clothing/jackets-blazers/tweed-tailored-jacket/SFPVE00666.html?dwvar_SFPVE00666_color=A267,Academia / Preppy,"Bright Spring, Soft Autumn","Smart Casual, Office",Coquette,32,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Long linen dress,https://us.sandro-paris.com/dw/image/v2/BCMW_PRD/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw051b35d6/images/h13/Sandro_SFPRO02398-E119_V_1.jpg?sw=638&sh=822&sm=fit&cx=224&cy=0&cw=1551&ch=2000,https://us.sandro-paris.com/en/womens/clothing/dresses/long-linen-dress/SFPRO02398.html?dwvar_SFPRO02398_color=E119,Artsy,"True Autumn, Dark Autumn","Casual, Festival",Supermodel,39,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Denim Collar Flare Leg Jumpsuit,"https://img1.shopcider.com/product/1645251445000-ZYnjhP.jpg?x-oss-process=image/resize,w_700,m_lfit/quality,Q_80/format,webp",https://www.shopcider.com/product/detail?pid=1013118&style_id=113100&gaListId=12&gaListName=Everything&ciderListId=2&ciderListName=Everything&selectSkuIndex=0&moduleTitle=1&shopPage=3&shopIndex=17&navTitle=Everything&navId=12&listSource=wishs%3Bcollection_12%3B2-0-0&listSort=&listId=12&listAttribute=&operationContent=Everything&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fproduct%2Flist%3Fcollection_id%3D12&operationpageTitle=wishs&operationPosition=2-0-0&operationType=category&productPosition=18&strategyNameList=home_page_feed%3Abase-all_all_everything_reco_0920_algorithm%3Aexp5-ranking_exp1%3Abase-reco_new_user_feed%3Abase-ymal_country_test%3Abase-reco_pipeline_test%3Abase-all_productDetailPipeline_%3Abase-_algorithm%3Abase-pipeline_%3Abase-all_productDetail_ymal_wiw_algorithm%3Abase-all_all_landing_page_0903_algorithm%3Abase-all_productDetailScatter_scatter_param_algorithm%3Abase-all_all_reco_ymal_algorithm%3Aexp1-all_productDetailPipeline_collection_12_algorithm%3Abase-all_productDetailPipeline_you_may_also_like_algorithm%3Abase-all_productDetailPipeline_home_feed_algorithm%3Abase&businessTracking=eyJpdGVtVHlwZSI6MCwibGlzdElkIjoxMiwibGlzdFRpdGxlIjoiRXZlcnl0aGluZyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IlJFQ0FMTF9IT1QiLCJzcHUiOjEwMTMxMTgsInNwdUNvZGUiOiJDRDIwMjExMjIxNTE2ODNKUyIsInN0cmF0ZWd5TmFtZSI6ImhvbWVfcGFnZV9mZWVkOmJhc2UtYWxsX2FsbF9ldmVyeXRoaW5nX3JlY29fMDkyMF9hbGdvcml0aG06ZXhwNS1yYW5raW5nX2V4cDE6YmFzZS1yZWNvX25ld191c2VyX2ZlZWQ6YmFzZS15bWFsX2NvdW50cnlfdGVzdDpiYXNlLXJlY29fcGlwZWxpbmVfdGVzdDpiYXNlLWFsbF9wcm9kdWN0RGV0YWlsUGlwZWxpbmVfOmJhc2UtX2FsZ29yaXRobTpiYXNlLXBpcGVsaW5lXzpiYXNlLWFsbF9wcm9kdWN0RGV0YWlsX3ltYWxfd2l3X2FsZ29yaXRobTpiYXNlLWFsbF9hbGxfbGFuZGluZ19wYWdlXzA5MDNfYWxnb3JpdGhtOmJhc2UtYWxsX3Byb2R1Y3REZXRhaWxTY2F0dGVyX3NjYXR0ZXJfcGFyYW1fYWxnb3JpdGhtOmJhc2UtYWxsX2FsbF9yZWNvX3ltYWxfYWxnb3JpdGhtOmV4cDEtYWxsX3Byb2R1Y3REZXRhaWxQaXBlbGluZV9jb2xsZWN0aW9uXzEyX2FsZ29yaXRobTpiYXNlLWFsbF9wcm9kdWN0RGV0YWlsUGlwZWxpbmVfeW91X21heV9hbHNvX2xpa2VfYWxnb3JpdGhtOmJhc2UtYWxsX3Byb2R1Y3REZXRhaWxQaXBlbGluZV9ob21lX2ZlZWRfYWxnb3JpdGhtOmJhc2UiLCJ0cmFja2luZ0lkIjoiMTEzNzc4MTM0ODg1NjE0NzIifQ%3D%3D&listType=2,Academia / Preppy,,"Smart Casual, Office","Queen, Feline",16,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Kallan Knit Dress - Black,https://cdn.shopify.com/s/files/1/0293/9277/products/KallanKnitDress-Black_MER_360x.jpg?v=1585952726,https://www.fashionnova.com/products/kallan-knit-dress-black,Insta Baddie / Y2K,"True Winter, Dark Winter","Cocktail, Clubbing",Siren,36,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
First And Last Midi Dress - Hunter,https://cdn.shopify.com/s/files/1/0293/9277/products/07-28-22Studio4_KJ_KP_11-31-40_23_D11778_Hunter_1373_JB_360x.jpg?v=1659382731,https://www.fashionnova.com/products/first-and-last-midi-dress-hunter,Insta Baddie / Y2K,"True Winter, Dark Winter","Cocktail, Clubbing",Femme Fatale,16,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
Amber Snatched Jumpsuit - Black,https://cdn.shopify.com/s/files/1/0293/9277/products/AmberSnatchedJumpsuit-Black_MER_360x.jpg?v=1642095093,https://www.fashionnova.com/products/amber-snatched-jumpsuit-black,Insta Baddie / Y2K,"True Winter, Dark Winter","Smart Casual, Office",Feline,27,0,fdBlGgV0g0ZKxNG9AwglS7m0zvM2
